number,value,datetime_start,datetime_complete,duration,params_crossover_name,params_crossover_probability,params_elitism_rate,params_mutation_name,params_mutation_probability,params_selection_type,params_vehicle_construction,system_attrs_grid_id,system_attrs_search_space,state
0,25962.61,2026-06-03 01:31:26.270995,2026-06-03 01:32:01.949638,0 days 00:00:35.678643,OXCrossover,0.75,0.20,InsertMutation,0.05,roulette_wheel,random,0,"{'crossover_name': ['PMXCrossover', 'CXCrossover', 'OXCrossover'], 'crossover_probability': [0.75, 0.8, 0.85, 0.9], 'elitism_rate': [0.1, 0.2], 'mutation_name': ['InsertMutation', 'SwapMutation'], 'mutation_probability': [0.01, 0.05, 0.1], 'selection_type': ['binary_tournament', 'roulette_wheel'], 'vehicle_construction': ['random', 'bellman_split']}",COMPLETE
1,26994.00,2026-06-03 01:32:01.949934,2026-06-03 01:32:07.915652,0 days 00:00:05.965718,PMXCrossover,0.85,0.10,InsertMutation,0.01,binary_tournament,random,1,"{'crossover_name': ['PMXCrossover', 'CXCrossover', 'OXCrossover'], 'crossover_probability': [0.75, 0.8, 0.85, 0.9], 'elitism_rate': [0.1, 0.2], 'mutation_name': ['InsertMutation', 'SwapMutation'], 'mutation_probability': [0.01, 0.05, 0.1], 'selection_type': ['binary_tournament', 'roulette_wheel'], 'vehicle_construction': ['random', 'bellman_split']}",COMPLETE
2,24665.08,2026-06-03 01:32:07.915954,2026-06-03 01:32:18.328604,0 days 00:00:10.412650,OXCrossover,0.85,0.10,InsertMutation,0.01,binary_tournament,random,2,"{'crossover_name': ['PMXCrossover', 'CXCrossover', 'OXCrossover'], 'crossover_probability': [0.75, 0.8, 0.85, 0.9], 'elitism_rate': [0.1, 0.2], 'mutation_name': ['InsertMutation', 'SwapMutation'], 'mutation_probability': [0.01, 0.05, 0.1], 'selection_type': ['binary_tournament', 'roulette_wheel'], 'vehicle_construction': ['random', 'bellman_split']}",COMPLETE
3,28208.71,2026-06-03 01:32:18.328891,2026-06-03 01:32:51.261945,0 days 00:00:32.933054,CXCrossover,0.85,0.20,InsertMutation,0.05,roulette_wheel,random,3,"{'crossover_name': ['PMXCrossover', 'CXCrossover', 'OXCrossover'], 'crossover_probability': [0.75, 0.8, 0.85, 0.9], 'elitism_rate': [0.1, 0.2], 'mutation_name': ['InsertMutation', 'SwapMutation'], 'mutation_probability': [0.01, 0.05, 0.1], 'selection_type': ['binary_tournament', 'roulette_wheel'], 'vehicle_construction': ['random', 'bellman_split']}",COMPLETE
4,26133.06,2026-06-03 01:32:51.262247,2026-06-03 01:33:02.423805,0 days 00:00:11.161558,OXCrossover,0.90,0.10,SwapMutation,0.01,binary_tournament,random,4,"{'crossover_name': ['PMXCrossover', 'CXCrossover', 'OXCrossover'], 'crossover_probability': [0.75, 0.8, 0.85, 0.9], 'elitism_rate': [0.1, 0.2], 'mutation_name': ['InsertMutation', 'SwapMutation'], 'mutation_probability': [0.01, 0.05, 0.1], 'selection_type': ['binary_tournament', 'roulette_wheel'], 'vehicle_construction': ['random', 'bellman_split']}",COMPLETE
5,26042.99,2026-06-03 01:33:02.424111,2026-06-03 01:33:43.460008,0 days 00:00:41.035897,OXCrossover,0.90,0.10,InsertMutation,0.05,roulette_wheel,random,5,"{'crossover_name': ['PMXCrossover', 'CXCrossover', 'OXCrossover'], 'crossover_probability': [0.75, 0.8, 0.85, 0.9], 'elitism_rate': [0.1, 0.2], 'mutation_name': ['InsertMutation', 'SwapMutation'], 'mutation_probability': [0.01, 0.05, 0.1], 'selection_type': ['binary_tournament', 'roulette_wheel'], 'vehicle_construction': ['random', 'bellman_split']}",COMPLETE
6,26404.76,2026-06-03 01:33:43.460326,2026-06-03 01:34:20.007050,0 days 00:00:36.546724,OXCrossover,0.90,0.20,SwapMutation,0.01,roulette_wheel,random,6,"{'crossover_name': ['PMXCrossover', 'CXCrossover', 'OXCrossover'], 'crossover_probability': [0.75, 0.8, 0.85, 0.9], 'elitism_rate': [0.1, 0.2], 'mutation_name': ['InsertMutation', 'SwapMutation'], 'mutation_probability': [0.01, 0.05, 0.1], 'selection_type': ['binary_tournament', 'roulette_wheel'], 'vehicle_construction': ['random', 'bellman_split']}",COMPLETE
7,28256.67,2026-06-03 01:34:20.007354,2026-06-03 01:34:28.833492,0 days 00:00:08.826138,CXCrossover,0.75,0.20,SwapMutation,0.10,binary_tournament,random,7,"{'crossover_name': ['PMXCrossover', 'CXCrossover', 'OXCrossover'], 'crossover_probability': [0.75, 0.8, 0.85, 0.9], 'elitism_rate': [0.1, 0.2], 'mutation_name': ['InsertMutation', 'SwapMutation'], 'mutation_probability': [0.01, 0.05, 0.1], 'selection_type': ['binary_tournament', 'roulette_wheel'], 'vehicle_construction': ['random', 'bellman_split']}",COMPLETE
8,24675.09,2026-06-03 01:34:28.833767,2026-06-03 01:35:14.806676,0 days 00:00:45.972909,OXCrossover,0.85,0.10,SwapMutation,0.05,binary_tournament,bellman_split,8,"{'crossover_name': ['PMXCrossover', 'CXCrossover', 'OXCrossover'], 'crossover_probability': [0.75, 0.8, 0.85, 0.9], 'elitism_rate': [0.1, 0.2], 'mutation_name': ['InsertMutation', 'SwapMutation'], 'mutation_probability': [0.01, 0.05, 0.1], 'selection_type': ['binary_tournament', 'roulette_wheel'], 'vehicle_construction': ['random', 'bellman_split']}",COMPLETE
9,30956.12,2026-06-03 01:35:14.806983,2026-06-03 01:36:19.206136,0 days 00:01:04.399153,CXCrossover,0.75,0.20,SwapMutation,0.01,roulette_wheel,bellman_split,9,"{'crossover_name': ['PMXCrossover', 'CXCrossover', 'OXCrossover'], 'crossover_probability': [0.75, 0.8, 0.85, 0.9], 'elitism_rate': [0.1, 0.2], 'mutation_name': ['InsertMutation', 'SwapMutation'], 'mutation_probability': [0.01, 0.05, 0.1], 'selection_type': ['binary_tournament', 'roulette_wheel'], 'vehicle_construction': ['random', 'bellman_split']}",COMPLETE
